StationID,SampleID,Date,HYL11,HYL2,HYL21,HYL2B,HYL31,HYL4,HYL52,HYL71,HYL8,HYL9,L11K2,L2K2,L21K2,L2BK2,L31K2,L4K2,L52K2,L71K2,L8K2,L9K2,Bird,Dog,Horse,Animal,Pig,Ruminant,Human,Nonhuman,Prep0_mm,Prep1_mm,Prep2_mm,Temp0_c,Temp1_c,Temp2_c,Elv,Flowacc,Season2,DateID,Label
18,33,12/3/2012,0.0075,0.0332,0.0304,0.0028,0.0049,0.9227,0.018,0.0111,0,0.0027,0.0075,0.0332,0.0304,0.0028,0.0049,0.9227,0.018,0.0111,0,0.0027,0.02,0.01,0.02,0.03,0,0,0.01,0.05,5.84,60.96,43.43,10.78,13.72,13.22,200,0.02,2,15,0
18,34,3/20/2013,0.0075,0.0332,0.0304,0.0028,0.0049,0.9227,0.018,0.0111,0,0.0027,0.0075,0.0332,0.0304,0.0028,0.0049,0.9227,0.018,0.0111,0,0.0027,0.05,0,0.01,0.02,0,0.01,0.02,0.07,16.26,0,0,11.06,12,12.44,200,0.02,2,18,0
18,35,4/4/2013,0.0075,0.0332,0.0304,0.0028,0.0049,0.9227,0.018,0.0111,0,0.0027,0.0075,0.0332,0.0304,0.0028,0.0049,0.9227,0.018,0.0111,0,0.0027,0.02,0,0.01,0.02,0,0.01,0.01,0.04,22.35,0,0,15.28,13.56,12.67,200,0.02,2,19,0
19,36,3/6/2013,0.0285,0.1503,0.1258,0.0245,0.0041,0.7832,0.0076,0.0087,0,0.0176,0.0285,0.1503,0.1258,0.0245,0.0041,0.7832,0.0076,0.0087,0,0.0176,0.01,0,0.01,0.02,0,0.01,0.02,0.03,29.21,0,0,7.61,8.39,12.11,22,13.99,2,17,0
20,37,8/18/2011,0.0009,0.1405,0.1045,0.036,0.0013,0.2789,0.1398,0.3808,0.0491,0.0088,0,0.2621,0.1806,0.0815,0.0028,0.4697,0.0809,0.1801,0,0.0044,0.01,0,0,0,0,0,0.02,0.01,0,0,0,18.89,19.83,19.11,24,468.9,1,2,1
20,38,10/5/2011,0.0009,0.1405,0.1045,0.036,0.0013,0.2789,0.1398,0.3808,0.0491,0.0088,0,0.2621,0.1806,0.0815,0.0028,0.4697,0.0809,0.1801,0,0.0044,0,0,0,0,0,0,0.01,0,31.24,20.57,0,14.22,13.67,17.22,24,468.9,2,8,1
21,39,1/21/2012,0.0004,0.2248,0.0848,0.14,0,0.0034,0.0126,0.0311,0.7278,0,0.0018,0.2097,0.0838,0.1259,0.001,0.0083,0.0178,0.1488,0.6024,0.0102,0.01,0,0.01,0.04,0,0.03,0.01,0.05,77.22,24.64,0.51,11.33,7.61,6.22,25,16.3,2,12,0
21,40,3/5/2012,0.0004,0.2248,0.0848,0.14,0,0.0034,0.0126,0.0311,0.7278,0,0.0018,0.2097,0.0838,0.1259,0.001,0.0083,0.0178,0.1488,0.6024,0.0102,0.01,0,0,0,0,0,0.02,0.01,0,0,0,14.28,12.72,11.17,25,16.3,1,14,1
22,41,2/19/2013,0.0137,0.2842,0.2174,0.0668,0.0029,0.3076,0.0953,0.2108,0.0737,0.0117,0.0137,0.2842,0.2174,0.0668,0.0029,0.3076,0.0953,0.2108,0.0737,0.0117,0.01,0,0,0,0,0,0.04,0.01,6.6,0,0,7.22,10.33,12.5,28,118.24,2,16,1
22,42,3/6/2013,0.0137,0.2842,0.2174,0.0668,0.0029,0.3076,0.0953,0.2108,0.0737,0.0117,0.0137,0.2842,0.2174,0.0668,0.0029,0.3076,0.0953,0.2108,0.0737,0.0117,0,0,0,0,0,0,0.39,0,29.46,0,0,7.94,8.39,13.06,28,118.24,2,17,1
